id,count
0,91.51
1,239.13
2,91.11
4,27.15
5,63.65
10,121.9
11,174.11
12,318.1
15,29.59
17,109.8
18,307.24
23,249.17
25,116.63
26,37.66
31,211.07
39,162.85
40,25.33
41,175.31
42,373.54
43,162.32
51,234.58
52,85.45
54,16.38
60,149.85
61,148.47
62,112.48
63,26.45
65,117.57
66,113.92
68,161.06
71,69.11
80,27.92
82,69.85
94,131.82
98,274.24
101,26.96
102,125.55
107,88.74
112,213.88
113,80.21
115,53.37
116,121.27
120,154.65
121,80.39
122,337.49
132,205.74
143,99.05
147,63.46
150,19.09
151,89.51
152,253.45
153,92.34
155,163.15
156,81.47
159,205.36
161,143.02
163,40.53
177,171.06
186,15.87
188,17.85
190,95.03
191,83.47
192,267.03
195,310.26
200,153.98
209,309.98
210,14.01
211,198.63
214,124.48
215,24.63
218,105.26
219,33.62
222,136.81
225,14.5
228,323.44
236,243.25
241,37.46
242,192.05
243,236.3
245,17.14
247,253.64
251,139.82
252,90.45
253,86.44
254,92.29
258,322.31
260,51.99
261,172.78
265,118.58
266,272.32
267,298.48
269,157.59
270,67.25
275,102.08
278,39.18
279,86.04
286,99.98
287,29.3
288,225.98
289,153.93
293,19.16
294,147.07
297,37.34
302,115.84
303,62.55
304,65.99
307,103.19
309,16.94
311,175.88
312,124.92
314,177.2
315,242.61
319,168.72
322,119.02
323,64.85
325,135.08
327,249.45
330,37.25
332,225.75
333,19.23
338,102.96
341,107.87
345,182.76
348,133.82
349,43.46
350,118.41
352,52.52
355,15.82
356,243.65
358,54.21
363,135.29
369,160.62
371,21.17
372,147.53
375,294.25
380,128.22
388,43.77
391,167.72
392,268.73
393,360.5
394,198.18
396,26.07
401,36.05
407,114.47
409,85.37
410,114.2
416,99.29
418,119.14
420,152.14
421,212.89
422,138.36
424,306.37
428,337.65
429,212.46
431,151.09
435,14.75
439,112.94
441,13.8
447,101.03
449,157.13
451,144.62
452,16.46
454,207.93
458,204.69
463,125.67
467,15.55
470,228.1
471,150.57
474,287.73
478,17.07
483,122.24
484,139.03
485,80.64
486,126.12
491,98.06
494,100.99
495,237.19
497,207.83
499,162.78
515,112.08
518,220.26
521,189.05
525,174.99
529,252.78
532,141.79
534,109.44
540,108.77
544,292.78
547,163.46
549,42.34
563,35.25
564,144.5
567,123.85
572,112.85
577,149.44
578,265.3
585,343.04
588,145.23
589,130.19
590,103.29
592,17.19
594,231.06
596,15.55
598,343.63
599,137.64
605,34.59
606,127.51
607,258.37
608,218.85
609,63.8
610,295.52
611,188.84
614,138.13
615,207.91
616,259.13
617,126.07
618,246.64
624,117.06
629,138.63
631,93.06
633,92.76
637,24.61
638,101.9
643,66.71
644,145.06
645,38.86
646,207.53
648,207.95
650,37.12
651,204.67
652,271.45
656,111.02
657,18.0
659,72.38
660,206.6
662,98.97
665,368.49
675,336.76
681,158.76
682,211.56
685,20.33
686,232.36
689,24.37
696,134.83
703,152.47
704,94.86
705,120.1
714,234.67
717,106.52
718,15.01
720,91.36
721,263.25
723,228.65
726,192.88
728,143.63
730,196.82
731,27.25
734,340.85
737,86.98
738,20.07
745,187.74
746,25.83
749,238.95
752,24.82
753,166.4
758,240.83
765,17.46
766,230.96
768,90.37
769,194.46
774,132.38
775,106.85
781,51.34
784,334.73
794,18.1
795,282.5
796,79.9
802,151.02
803,216.18
805,36.64
806,290.3
807,103.82
809,16.82
810,170.06
812,197.7
814,118.1
818,249.64
819,138.74
825,68.1
836,109.6
839,117.52
847,270.58
848,184.03
851,134.25
852,136.51
853,30.29
857,138.72
858,41.0
859,227.01
861,25.13
867,107.15
870,220.23
871,214.35
872,244.26
874,343.78
881,229.23
886,132.13
890,53.12
895,174.87
899,88.39
900,278.56
901,253.31
902,248.9
903,37.69
913,267.51
918,210.92
923,122.4
924,39.88
926,27.77
927,19.49
930,214.61
934,35.77
937,134.35
939,143.25
941,90.06
942,368.13
946,269.97
950,96.18
953,93.37
959,83.85
961,29.62
962,101.36
964,73.73
969,190.11
971,139.35
976,36.86
978,235.03
980,243.06
981,150.76
990,367.43
993,18.55
996,19.74
998,324.34
999,184.19
1006,120.79
1008,15.26
1013,28.84
1015,95.08
1016,124.06
1022,306.11
1026,215.78
1028,250.31
1031,65.68
1034,43.66
1037,218.08
1040,60.79
1042,20.45
1046,17.69
1048,99.46
1049,110.21
1050,63.88
1051,214.34
1052,244.28
1055,193.56
1060,142.78
1064,28.47
1066,81.18
1071,97.56
1073,14.18
1089,203.42
1091,99.84
1092,67.34
1093,234.98
1096,325.19
1097,219.47
1098,18.7
1099,39.96
1102,171.81
1107,102.32
1109,38.52
1111,108.93
1112,114.55
1114,309.49
1116,291.07
1117,134.81
1118,78.47
1122,134.92
1124,171.99
1127,118.08
1133,221.89
1134,38.98
1135,137.05
1139,310.4
1143,49.51
1150,118.34
1151,111.96
1153,270.02
1155,27.89
1162,29.63
1163,210.66
1166,20.61
1171,87.09
1172,15.57
1173,257.05
1174,70.5
1177,116.03
1178,157.49
1184,181.52
1185,107.62
1186,113.33
1187,162.68
1188,280.55
1191,140.83
1207,121.99
1213,44.14
1215,131.65
1223,178.65
1227,115.22
1236,51.66
1237,46.94
1238,19.77
1241,29.92
1248,18.31
1250,32.84
1251,164.59
1253,115.73
1255,97.04
1257,175.18
1261,116.35
1262,337.21
1265,134.51
1273,187.04
1277,257.42
1278,119.02
1280,111.66
1284,216.3
1285,335.59
1288,31.16
1295,111.21
1297,353.5
1299,254.37
1304,158.99
1308,42.01
1310,95.15
1311,117.59
1314,98.31
1315,106.16
1318,34.61
1320,332.17
1321,298.47
1322,236.25
1330,122.88
1333,164.83
1334,228.62
1341,135.28
1344,153.45
1351,246.31
1354,93.01
1356,43.95
1363,119.92
1365,199.55
1369,138.08
1373,115.16
1375,112.92
1377,90.1
1379,138.53
1380,274.3
1381,94.34
1384,183.1
1390,192.63
1393,237.67
1395,44.44
1399,327.89
1400,93.63
1401,178.68
1404,188.28
1408,16.91
1409,27.92
1413,219.2
1416,281.55
1418,103.06
1423,102.58
1424,27.2
1425,15.82
1433,248.84
1434,153.66
1436,323.24
1442,245.15
1444,85.87
1445,109.21
1452,208.44
1455,164.94
1462,62.67
1467,85.69
1472,45.38
1475,198.58
1493,115.88
1501,222.7
1503,303.24
1504,232.72
1505,15.08
1511,241.27
1512,45.35
1513,89.43
1514,33.71
1528,238.31
1533,249.31
1534,30.09
1536,157.37
1537,68.53
1539,217.46
1550,210.55
1552,211.6
1554,202.28
1555,371.17
1556,89.75
1559,30.25
1563,242.45
1566,152.6
1567,153.66
1568,28.95
1571,228.83
1572,20.12
1574,46.96
1577,17.33
1583,82.74
1585,32.69
1586,191.59
1587,196.86
1596,153.94
1602,31.19
1604,76.23
1605,29.13
1610,316.16
1611,93.85
1616,31.35
1617,97.36
1618,15.79
1622,45.37
1623,34.73
1628,312.85
1631,16.3
1632,199.16
1633,243.2
1634,314.35
1636,227.18
1637,103.4
1643,137.36
1644,103.14
1646,97.07
1648,214.27
1651,36.02
1656,19.37
1658,145.31
1659,19.06
1665,171.92
1666,142.69
1670,37.94
1674,144.86
1679,186.65
1680,226.0
1683,328.8
1686,26.71
1691,94.82
1693,35.91
1696,36.14
