id,count
0,84.58
1,219.82
2,87.61
4,29.83
5,65.06
10,126.61
11,182.02
12,318.79
15,31.72
17,128.42
18,298.66
23,252.57
25,104.79
26,39.85
31,207.99
39,157.09
40,28.58
41,163.15
42,360.03
43,159.26
51,233.43
52,82.41
54,17.08
60,144.31
61,140.11
62,115.61
63,28.64
65,118.46
66,109.56
68,159.2
71,71.98
80,30.76
82,69.06
94,129.72
98,273.99
101,31.65
102,135.93
107,91.88
112,224.46
113,68.79
115,50.46
116,121.72
120,162.74
121,74.42
122,330.49
132,188.54
143,86.2
147,66.24
150,19.23
151,88.14
152,234.03
153,92.82
155,167.94
156,82.46
159,190.78
161,135.54
163,45.43
177,165.55
186,15.28
188,18.48
190,91.85
191,83.77
192,261.43
195,310.74
200,149.85
209,307.81
210,16.05
211,213.31
214,121.06
215,26.84
218,106.15
219,32.52
222,140.67
225,15.4
228,309.81
236,221.39
241,35.78
242,188.89
243,220.26
245,20.03
247,251.96
251,139.27
252,94.1
253,85.3
254,94.76
258,321.87
260,50.13
261,170.02
265,117.65
266,270.6
267,293.08
269,160.29
270,68.03
275,102.38
278,33.95
279,84.89
286,105.07
287,28.65
288,225.15
289,139.61
293,18.04
294,158.31
297,30.48
302,118.13
303,54.11
304,66.26
307,100.57
309,17.55
311,174.97
312,129.93
314,174.72
315,223.27
319,166.79
322,115.35
323,67.39
325,113.01
327,244.05
330,32.71
332,191.52
333,17.29
338,102.5
341,112.43
345,174.83
348,121.11
349,45.48
350,115.42
352,50.26
355,15.45
356,243.68
358,54.57
363,133.4
369,166.4
371,18.77
372,154.74
375,299.24
380,128.12
388,44.11
391,156.44
392,259.33
393,377.74
394,194.33
396,28.86
401,37.0
407,112.64
409,87.46
410,114.95
416,109.87
418,123.14
420,154.04
421,207.6
422,131.2
424,291.98
428,344.17
429,224.85
431,160.08
435,12.46
439,114.67
441,11.78
447,98.65
449,148.35
451,144.86
452,16.66
454,208.29
458,219.53
463,125.97
467,15.49
470,229.33
471,159.54
474,290.17
478,16.77
483,123.27
484,124.04
485,85.7
486,129.15
491,98.57
494,105.32
495,234.4
497,205.3
499,172.74
515,119.41
518,201.41
521,177.02
525,170.79
529,247.35
532,142.8
534,111.9
540,111.94
544,297.73
547,165.78
549,44.09
563,33.05
564,141.8
567,123.6
572,112.44
577,134.35
578,256.78
585,343.87
588,143.53
589,113.36
590,107.43
592,16.62
594,217.67
596,14.75
598,353.09
599,143.43
605,34.8
606,133.88
607,245.63
608,229.71
609,63.28
610,288.45
611,191.09
614,132.87
615,200.33
616,256.15
617,125.27
618,242.51
624,117.43
629,134.38
631,91.46
