id,count
0,93.44
1,220.44
2,68.97
4,29.87
5,63.56
10,120.15
11,208.53
12,313.09
15,36.84
17,125.95
18,302.74
23,243.64
25,107.11
26,40.19
31,201.72
39,168.37
40,27.49
41,187.84
42,366.3
43,153.48
51,222.8
52,85.35
54,16.12
60,147.09
61,136.31
62,110.84
63,28.18
65,118.24
66,114.18
68,161.76
71,77.6
80,30.6
82,74.32
94,129.34
98,273.72
101,34.05
102,132.64
107,98.84
112,228.45
113,80.34
115,57.63
116,123.87
120,153.69
121,85.39
122,329.05
132,185.51
143,94.0
147,68.96
150,19.03
151,87.14
152,223.65
153,91.64
155,158.63
156,72.66
159,190.59
161,126.15
163,47.02
177,170.9
186,14.71
188,19.29
190,89.4
191,84.9
192,276.27
195,312.4
200,140.08
209,313.11
210,14.84
211,236.64
214,134.89
215,26.37
218,99.98
219,32.06
222,128.38
225,14.23
228,314.41
236,228.21
241,36.97
242,181.78
243,223.78
245,18.1
247,247.72
251,132.03
252,92.66
253,84.38
254,92.32
258,320.58
260,56.69
261,175.73
265,112.61
266,284.53
267,310.86
269,163.66
270,74.08
275,100.26
278,34.86
279,80.34
286,102.5
287,28.68
288,201.71
289,140.27
293,19.11
294,158.89
297,48.72
302,119.84
303,72.3
304,67.64
307,98.02
309,16.63
311,166.11
312,119.3
314,175.04
315,240.16
319,173.06
322,117.64
323,75.2
325,120.36
327,239.91
330,36.0
332,195.81
333,17.79
338,101.28
341,109.69
345,189.81
348,128.5
349,47.29
350,122.15
352,57.43
355,15.98
356,233.85
358,58.68
363,131.83
369,167.96
371,18.95
372,137.38
375,303.14
380,133.49
388,45.9
391,139.49
392,257.48
393,364.37
394,198.87
396,29.12
401,38.46
407,106.76
409,90.2
410,115.86
416,105.11
418,123.55
420,149.51
421,235.87
422,130.87
424,290.31
428,348.99
429,219.46
431,175.25
435,11.87
439,116.67
441,12.52
447,95.7
449,150.19
451,143.08
452,15.67
454,213.34
458,217.53
463,127.57
467,13.66
470,244.12
471,160.53
474,298.21
478,15.79
483,124.18
484,135.34
485,84.55
486,127.93
491,97.29
494,104.85
495,238.32
497,211.29
499,168.27
515,118.65
518,206.31
521,182.95
525,150.97
529,244.88
532,150.36
534,110.1
540,111.41
544,295.84
547,164.47
549,45.08
563,36.17
564,132.96
567,125.0
572,119.8
577,136.65
578,273.11
585,348.42
588,148.94
589,122.05
590,108.25
592,16.12
594,234.78
596,13.83
598,347.35
599,146.44
605,35.19
606,130.82
607,255.78
608,232.63
609,72.11
610,284.61
611,173.54
614,129.65
615,217.75
616,247.68
617,122.0
618,256.54
624,122.18
629,136.4
631,85.3
633,93.6
637,23.6
638,104.27
643,70.66
644,122.76
645,35.69
646,221.4
648,185.76
650,40.61
651,187.87
652,265.94
656,111.38
657,17.64
659,85.58
660,211.87
662,98.48
665,370.33
675,318.67
681,164.45
682,203.95
685,20.49
686,220.92
689,24.51
696,136.19
703,145.18
704,99.47
705,135.25
714,232.31
717,95.31
718,14.17
720,91.29
721,253.97
723,244.21
726,181.1
728,141.38
730,203.94
731,27.41
734,335.24
737,77.05
738,18.08
745,174.88
746,27.1
749,233.92
752,25.71
753,166.83
758,242.13
765,16.21
766,229.64
768,80.44
769,174.29
774,117.48
775,110.52
781,61.56
784,332.44
794,18.17
795,278.07
796,86.2
802,162.17
803,218.72
805,31.56
806,286.03
807,100.32
809,15.65
810,160.96
812,190.37
814,116.82
818,248.03
819,128.66
825,74.84
836,107.24
839,121.52
847,263.75
848,162.39
851,119.18
852,136.78
853,32.19
857,139.89
858,44.05
859,231.29
861,24.05
867,108.16
870,223.55
871,207.0
872,212.38
874,359.46
881,198.77
886,132.81
890,57.78
895,164.08
899,82.73
900,278.64
901,261.69
902,240.61
903,42.1
913,261.1
918,201.44
923,137.4
924,35.96
926,26.41
927,19.71
930,222.02
934,31.1
937,122.44
939,160.77
941,92.42
942,369.58
946,287.46
950,96.9
953,88.25
959,102.89
961,28.81
962,101.35
964,86.17
969,203.09
971,151.91
976,42.08
978,245.97
980,230.71
981,143.05
990,363.04
993,18.28
996,20.13
998,332.35
999,185.73
1006,123.76
1008,14.42
1013,29.97
1015,98.1
1016,122.43
1022,309.33
1026,220.4
1028,249.96
1031,69.72
1034,53.34
1037,183.57
1040,69.9
1042,19.66
1046,18.29
1048,100.23
1049,112.83
1050,73.37
1051,213.74
1052,237.27
1055,184.0
1060,149.06
1064,27.7
1066,79.69
1071,98.25
1073,14.22
1089,212.12
1091,100.2
1092,74.62
1093,227.81
1096,318.23
1097,218.93
1098,17.65
1099,36.78
1102,182.99
1107,103.35
1109,43.58
1111,132.61
1112,116.98
1114,310.59
1116,298.32
1117,120.31
1118,82.87
1122,137.47
1124,156.07
1127,119.37
1133,226.09
1134,36.2
1135,139.25
1139,304.49
1143,60.27
1150,119.07
1151,115.39
1153,271.58
1155,28.0
1162,26.14
1163,203.79
1166,21.59
1171,86.39
1172,15.27
1173,253.73
1174,79.58
1177,123.7
1178,152.27
1184,168.15
1185,109.82
1186,120.36
1187,157.08
1188,286.74
1191,137.62
1207,122.8
1213,47.13
1215,126.31
1223,181.6
1227,120.91
1236,62.45
1237,53.39
1238,18.29
1241,30.93
1248,16.91
1250,38.24
1251,162.8
1253,113.35
1255,100.58
1257,165.4
1261,120.57
1262,345.53
1265,138.48
1273,183.57
1277,271.33
1278,121.55
1280,115.26
1284,225.07
1285,331.7
1288,33.8
1295,117.55
1297,363.14
1299,257.81
1304,153.95
1308,42.44
1310,95.18
1311,121.22
1314,92.33
1315,110.84
1318,32.09
1320,326.21
1321,306.78
1322,249.61
1330,116.37
1333,174.07
1334,238.85
1341,135.52
1344,150.59
1351,238.34
1354,105.47
1356,57.16
1363,119.08
1365,199.32
1369,129.62
1373,114.76
1375,111.37
1377,82.79
1379,114.49
1380,288.79
1381,102.61
1384,190.92
1390,201.75
1393,239.58
1395,54.92
1399,324.27
1400,98.19
1401,164.18
1404,171.17
1408,14.11
1409,27.21
1413,227.55
1416,292.54
1418,99.53
1423,96.76
1424,26.82
1425,15.09
1433,250.05
